Date,Open,High,Low,Close,Volume,Prev_close
2000-01-07,15.40625,16.40625,15.375,16.25,8543400,16.0
2000-01-10,16.75,17.75,16.6875,17.5,12916400,16.25
2000-01-11,17.5,17.96875,16.96875,17.25,6679800,17.5
2000-01-12,17.0,18.375,16.8125,18.125,8818600,17.25
2000-01-13,18.375,18.875,17.5625,18.875,7542200,18.125
2000-01-14,18.5625,20.28125,18.5,20.1875,15007800,18.875
2000-01-18,20.0,20.625,19.34375,19.5,10871400,20.1875
2000-01-19,19.875,21.5,19.40625,19.59375,8924400,19.5
2000-01-20,21.75,22.5625,19.0,19.5,28847200,19.59375
2000-01-21,19.5625,19.5625,18.0625,18.9375,11715000,19.5
2000-01-24,18.625,19.21875,16.90625,17.25,10269800,18.9375
2000-01-25,17.28125,20.25,17.25,20.0,10805800,17.25
2000-01-26,18.8125,19.125,18.28125,18.5,7597800,20.0
2000-01-27,19.0,19.5,18.4375,18.46875,6167800,18.5
2000-01-28,18.59375,18.875,17.1875,17.625,6867200,18.46875
2000-01-31,17.625,18.125,17.21875,18.0,4288800,17.625
2000-02-01,18.25,18.375,17.5,18.28125,5111200,18.0
2000-02-02,18.15625,18.25,17.78125,18.03125,4076200,18.28125
2000-02-03,18.375,19.6875,18.15625,19.5,9523800,18.03125
2000-02-04,19.5,20.0625,19.1875,19.28125,7109200,19.5
2000-02-07,19.28125,20.65625,19.0625,20.65625,6056600,19.28125
2000-02-08,20.5,21.0,19.59375,20.6875,8583800,20.65625
2000-02-09,20.6875,21.1875,20.25,21.03125,7813600,20.6875
2000-02-10,21.03125,21.375,20.65625,21.25,6373600,21.03125
2000-02-11,21.375,22.75,20.90625,22.75,14933400,21.25
2000-02-14,22.40625,22.75,21.0625,21.625,8745200,22.75
2000-02-15,21.75,22.375,21.1875,21.75,8673800,21.625
2000-02-16,21.875,22.59375,21.6875,21.875,7579800,21.75
2000-02-17,22.09375,22.09375,21.0625,21.5,5442600,21.875
2000-02-18,21.1875,21.8125,20.0,21.5,6451000,21.5
2000-02-22,20.125,21.21875,19.8125,20.90625,5422600,21.5
2000-02-23,20.84375,20.96875,20.53125,20.53125,2930400,20.90625
2000-02-24,20.75,21.46875,20.34375,21.28125,4091400,20.53125
2000-02-25,20.78125,21.1875,19.625,20.25,10911400,21.28125
2000-02-28,20.15625,20.15625,18.8125,18.875,8847000,20.25
2000-02-29,19.6875,20.125,19.5,19.75,8303200,18.875
2000-03-01,19.9375,20.6875,19.84375,20.25,6552200,19.75
2000-03-02,20.21875,20.21875,19.25,19.625,4540600,20.25
2000-03-03,19.875,21.0,19.875,20.75,6913000,19.625
2000-03-06,23.0,24.5,23.0,23.75,22458400,20.75
2000-03-07,24.71875,29.5,24.5,27.5,25724000,23.75
2000-03-08,27.75,27.75,24.0,26.75,13466000,27.5
